PERSON_AGE,VEHICLE_ID,POSITION_IN_VEHICLE,EJECTION,SAFETY_EQUIPMENT
30.0,19822115.0,Driver,Not Ejected,Lap Belt & Harness
29.0,19823414.0,Driver,Not Ejected,Lap Belt
21.0,19823101.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Air Bag Deployed/Lap Belt/Harness
27.0,19824128.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt
32.0,19824128.0,Driver,Not Ejected,Lap Belt
42.0,19824127.0,Driver,Not Ejected,Lap Belt
27.0,19822002.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
50.0,19822074.0,Driver,Not Ejected,Lap Belt & Harness
45.0,19822074.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
20.0,NA,NA,NA,NA
24.0,19821999.0,Driver,Not Ejected,Lap Belt & Harness
34.0,19822002.0,Driver,Not Ejected,Lap Belt & Harness
23.0,19823386.0,"Middle front seat, or passenger lying across a seat",Not Ejected,Lap Belt
37.0,19823387.0,Driver,Not Ejected,Lap Belt
24.0,19823557.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt
28.0,19823557.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt
42.0,19823470.0,Driver,Not Ejected,Lap Belt & Harness
30.0,19823612.0,Driver,Not Ejected,Lap Belt & Harness
43.0,19823467.0,Driver,Not Ejected,Lap Belt & Harness
32.0,19823468.0,Driver,Not Ejected,Lap Belt & Harness
31.0,19822051.0,Driver,Not Ejected,Lap Belt & Harness
22.0,19821983.0,Driver,Not Ejected,Lap Belt & Harness
22.0,19821984.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
30.0,19823612.0,Driver,Not Ejected,Lap Belt & Harness
18.0,19821983.0,"Middle front seat, or passenger lying across a seat",Not Ejected,Lap Belt & Harness
33.0,19825693.0,Driver,Not Ejected,Unknown
39.0,19822058.0,Driver,Not Ejected,Unknown
58.0,19822073.0,Driver,Not Ejected,Lap Belt & Harness
29.0,19822046.0,Driver,Not Ejected,Lap Belt & Harness
43.0,19822049.0,Driver,Not Ejected,Lap Belt & Harness
68.0,NA,NA,NA,NA
47.0,19825692.0,Driver,Not Ejected,Lap Belt
26.0,19840277.0,Driver,Not Ejected,Lap Belt & Harness
78.0,19822035.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt/Harness
61.0,19823121.0,Driver,Not Ejected,Lap Belt & Harness
57.0,19826207.0,Driver,Not Ejected,None
38.0,19823432.0,Driver,Not Ejected,Lap Belt
56.0,19822085.0,Driver,Not Ejected,Unknown
21.0,19823381.0,Driver,Ejected,Helmet Only (In-Line Skater/Bicyclist)
25.0,NA,NA,NA,NA
21.0,19822177.0,Driver,Not Ejected,Lap Belt & Harness
64.0,19824046.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
30.0,19823421.0,Driver,Not Ejected,Lap Belt
30.0,19823583.0,Driver,Not Ejected,Lap Belt
2.0,19823085.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,Lap Belt & Harness
57.0,19825168.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
38.0,19825168.0,Driver,Not Ejected,Lap Belt & Harness
18.0,19824043.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
40.0,NA,NA,NA,NA
61.0,19822129.0,Driver,Partially Ejected,None
34.0,19823127.0,Driver,Not Ejected,Lap Belt
65.0,NA,NA,NA,NA
32.0,NA,NA,NA,NA
25.0,19824246.0,Driver,Not Ejected,Lap Belt & Harness
47.0,19824276.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
58.0,NA,NA,NA,NA
24.0,NA,NA,NA,NA
33.0,NA,Unknown,Not Ejected,None
28.0,NA,NA,NA,NA
19.0,NA,NA,NA,NA
36.0,19823360.0,Driver,Ejected,Unknown
35.0,19823405.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt
20.0,19823394.0,Driver,Not Ejected,Unknown
16.0,19826619.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
28.0,19826618.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
28.0,19826618.0,Driver,Not Ejected,Lap Belt & Harness
29.0,19826618.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
21.0,19826618.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
17.0,NA,NA,NA,NA
31.0,NA,Unknown,Not Ejected,None
44.0,19824042.0,Driver,Not Ejected,Lap Belt & Harness
54.0,19823220.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
47.0,19824620.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
39.0,19822151.0,Driver,Not Ejected,Unknown
32.0,19822108.0,Driver,Not Ejected,Lap Belt & Harness
69.0,NA,Unknown,Not Ejected,None
39.0,NA,NA,NA,NA
17.0,19823540.0,Driver,Not Ejected,None
20.0,19823523.0,Driver,Not Ejected,Lap Belt & Harness
55.0,NA,NA,NA,NA
25.0,19823581.0,Driver,Ejected,Unknown
33.0,NA,NA,NA,NA
28.0,19824795.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt/Harness
25.0,19824796.0,"Middle front seat, or passenger lying across a seat",Not Ejected,Lap Belt & Harness
21.0,19824796.0,Driver,Not Ejected,Lap Belt & Harness
27.0,NA,NA,NA,NA
17.0,19822186.0,Driver,Not Ejected,Lap Belt & Harness
26.0,19823396.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
32.0,19825169.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
34.0,19839659.0,Driver,Not Ejected,Unknown
37.0,19839660.0,Unknown,Not Ejected,Unknown
39.0,19823256.0,Driver,Not Ejected,Unknown
70.0,NA,NA,NA,NA
37.0,NA,NA,NA,NA
76.0,19824057.0,Driver,Not Ejected,Lap Belt & Harness
56.0,19823548.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
40.0,19824056.0,Driver,Not Ejected,Lap Belt & Harness
3.0,19824080.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Child Restraint Only
24.0,19823547.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
23.0,19823547.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
32.0,19823549.0,Driver,Not Ejected,Lap Belt & Harness
28.0,19823547.0,Driver,Not Ejected,Lap Belt & Harness
31.0,19823238.0,Driver,Not Ejected,Lap Belt & Harness
22.0,19823184.0,Driver,Not Ejected,Lap Belt & Harness
26.0,19823238.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
54.0,19823239.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
4.0,19823643.0,"Any person in the rear of a station wagon, pick-up truck, all passengers on a bus, etc",Not Ejected,Lap Belt & Harness
37.0,19823643.0,"Any person in the rear of a station wagon, pick-up truck, all passengers on a bus, etc",Not Ejected,Lap Belt & Harness
37.0,19823643.0,"Any person in the rear of a station wagon, pick-up truck, all passengers on a bus, etc",Not Ejected,Lap Belt & Harness
43.0,NA,NA,NA,NA
1.0,19823284.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Child Restraint Only
38.0,19823164.0,Driver,Partially Ejected,Unknown
53.0,NA,NA,NA,NA
14.0,19823251.0,Driver,Ejected,Helmet Only (In-Line Skater/Bicyclist)
5.0,NA,NA,NA,NA
31.0,19824016.0,Driver,Not Ejected,Lap Belt & Harness
60.0,19840284.0,Driver,Not Ejected,Lap Belt
56.0,19840283.0,Driver,Not Ejected,Lap Belt
33.0,19823493.0,Driver,Ejected,Helmet (Motorcycle Only)
29.0,19865284.0,Driver,Not Ejected,Lap Belt & Harness
24.0,19823575.0,Driver,Not Ejected,Lap Belt & Harness
18.0,19824082.0,Driver,Not Ejected,Lap Belt & Harness
64.0,19823524.0,Driver,Not Ejected,Lap Belt & Harness
55.0,19823675.0,Driver,Not Ejected,Lap Belt & Harness
59.0,19824096.0,Driver,Not Ejected,Unknown
22.0,19827021.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
25.0,19827021.0,Driver,Not Ejected,Lap Belt & Harness
20.0,19826291.0,Driver,Not Ejected,Lap Belt & Harness
23.0,19827022.0,Driver,Not Ejected,Lap Belt & Harness
17.0,NA,NA,NA,NA
68.0,19823179.0,Driver,Not Ejected,Lap Belt & Harness
67.0,19824663.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Helmet (Motorcycle Only)
29.0,NA,NA,NA,NA
68.0,19824663.0,Driver,Not Ejected,Helmet (Motorcycle Only)
55.0,19823460.0,Driver,Not Ejected,Helmet/Other (In-Line Skater/Bicyclist)
23.0,19848207.0,Driver,Not Ejected,Lap Belt & Harness
25.0,19848208.0,Driver,Ejected,None
56.0,19826613.0,Driver,Ejected,None
22.0,19823636.0,Driver,Not Ejected,Lap Belt & Harness
37.0,19823499.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Air Bag Deployed/Child Restraint
22.0,19823500.0,Driver,Not Ejected,Lap Belt
67.0,NA,NA,NA,NA
41.0,19823499.0,Driver,Not Ejected,Air Bag Deployed
33.0,19824223.0,Driver,Partially Ejected,None
55.0,19823473.0,Driver,Not Ejected,None
23.0,19823500.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
63.0,NA,NA,NA,NA
48.0,19823570.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
63.0,19823507.0,Driver,Not Ejected,Lap Belt & Harness
31.0,19823133.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt/Harness
47.0,19823507.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
59.0,NA,NA,NA,NA
32.0,19823571.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
24.0,19823782.0,Driver,Not Ejected,None
49.0,19823135.0,Driver,Not Ejected,Lap Belt & Harness
51.0,NA,NA,NA,NA
69.0,19823507.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
56.0,19823570.0,Driver,Not Ejected,Lap Belt & Harness
22.0,19829473.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Unknown
27.0,NA,NA,NA,NA
24.0,19829473.0,Driver,Not Ejected,Unknown
68.0,19823744.0,Driver,Not Ejected,Lap Belt
6.0,19823287.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Child Restraint Only
25.0,19823244.0,Driver,Not Ejected,Lap Belt & Harness
35.0,19824559.0,Driver,Not Ejected,Helmet Only (In-Line Skater/Bicyclist)
36.0,19823197.0,Driver,Not Ejected,None
51.0,19823653.0,Driver,Not Ejected,Helmet Only (In-Line Skater/Bicyclist)
52.0,NA,NA,NA,NA
27.0,19824274.0,Driver,Partially Ejected,None
60.0,NA,NA,NA,NA
28.0,NA,NA,NA,NA
36.0,19824066.0,Driver,Not Ejected,Lap Belt & Harness
4.0,NA,NA,NA,NA
39.0,NA,NA,NA,NA
31.0,19823566.0,Driver,Not Ejected,Lap Belt & Harness
27.0,19824145.0,Driver,Not Ejected,Lap Belt & Harness
19.0,19823214.0,Driver,Not Ejected,None
40.0,NA,NA,NA,NA
40.0,19824430.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
8.0,19823408.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,Lap Belt
33.0,19824430.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
9.0,19823408.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt
3.0,19823408.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,Lap Belt
13.0,19824430.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
40.0,19824430.0,Driver,Not Ejected,Lap Belt & Harness
28.0,19823138.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
41.0,19823518.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,None
29.0,19823664.0,Driver,Not Ejected,Lap Belt & Harness
54.0,19823665.0,Driver,Not Ejected,Lap Belt & Harness
39.0,19823664.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
27.0,19823783.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
23.0,19824596.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
20.0,19824596.0,Driver,Not Ejected,Lap Belt & Harness
27.0,19823783.0,Driver,Not Ejected,Lap Belt & Harness
30.0,19826995.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Unknown
25.0,19826995.0,Driver,Not Ejected,Unknown
64.0,19826997.0,Driver,Not Ejected,Unknown
24.0,19826995.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Unknown
31.0,19826997.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Unknown
37.0,19826997.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Unknown
40.0,19824671.0,Driver,Not Ejected,Unknown
2.0,19824671.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Unknown
6.0,19824672.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Unknown
39.0,19824672.0,Driver,Not Ejected,Unknown
1.0,19824671.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Unknown
34.0,19824671.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Unknown
24.0,19824672.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,Unknown
25.0,19823687.0,Driver,Not Ejected,Lap Belt & Harness
20.0,19823687.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
21.0,19823687.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
30.0,19823539.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt
21.0,19825716.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
35.0,19823763.0,Driver,Not Ejected,Lap Belt & Harness
35.0,19825260.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
30.0,19825260.0,Driver,Not Ejected,Lap Belt & Harness
21.0,NA,NA,NA,NA
29.0,19823747.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Unknown
21.0,19823674.0,Driver,Not Ejected,Lap Belt
45.0,NA,NA,NA,NA
56.0,NA,Unknown,Not Ejected,None
34.0,19823398.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,None
51.0,NA,NA,NA,NA
32.0,19824320.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,None
40.0,19824231.0,Driver,Not Ejected,Lap Belt & Harness
19.0,19823758.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Unknown
60.0,19823829.0,Driver,Not Ejected,Unknown
46.0,NA,NA,NA,NA
18.0,NA,NA,Not Ejected,NA
23.0,NA,NA,NA,NA
59.0,19824675.0,Driver,Not Ejected,Lap Belt & Harness
52.0,NA,NA,NA,NA
20.0,NA,NA,NA,NA
9.0,19824232.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt
63.0,NA,NA,NA,NA
49.0,19823648.0,Driver,Not Ejected,Lap Belt & Harness
45.0,NA,NA,NA,NA
21.0,19824233.0,Driver,Not Ejected,Lap Belt
19.0,NA,NA,NA,NA
25.0,19823534.0,Driver,Not Ejected,Unknown
59.0,NA,NA,NA,NA
31.0,19824688.0,Driver,Not Ejected,Lap Belt
72.0,NA,NA,NA,NA
27.0,NA,NA,NA,NA
30.0,19823578.0,Driver,Not Ejected,None
25.0,NA,NA,NA,NA
33.0,NA,Unknown,NA,NA
29.0,NA,NA,NA,NA
63.0,NA,NA,NA,NA
41.0,NA,NA,NA,NA
17.0,NA,NA,NA,NA
31.0,19824301.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
92.0,19824327.0,Driver,Not Ejected,Unknown
33.0,19824301.0,Driver,Not Ejected,Lap Belt & Harness
24.0,19823651.0,Riding/Hanging on Outside,Ejected,None
19.0,19823480.0,Driver,Ejected,None
37.0,NA,NA,NA,NA
53.0,19824776.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Unknown
10.0,NA,NA,NA,NA
21.0,NA,Unknown,Not Ejected,None
22.0,NA,NA,NA,NA
70.0,NA,NA,NA,NA
20.0,19824776.0,Driver,Not Ejected,Unknown
35.0,NA,NA,NA,NA
23.0,19830494.0,Driver,Not Ejected,Unknown
39.0,19830494.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Unknown
22.0,19829452.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt
30.0,19829452.0,Driver,Not Ejected,Lap Belt
18.0,19942896.0,Driver,Not Ejected,None
51.0,NA,NA,NA,NA
11.0,NA,NA,NA,NA
33.0,19827086.0,Driver,Not Ejected,Unknown
29.0,19827085.0,Driver,Not Ejected,Unknown
32.0,19827085.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Unknown
76.0,19823703.0,Driver,Not Ejected,Lap Belt
50.0,19823786.0,Driver,Not Ejected,Lap Belt & Harness
28.0,19823836.0,Driver,Not Ejected,Lap Belt & Harness
39.0,19823787.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
47.0,19823671.0,Driver,Not Ejected,Lap Belt & Harness
31.0,19823836.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
20.0,19823672.0,Driver,Not Ejected,Lap Belt & Harness
21.0,19835575.0,Driver,Not Ejected,Lap Belt & Harness
41.0,19835576.0,Driver,Not Ejected,Lap Belt & Harness
39.0,19823765.0,Driver,Not Ejected,None
37.0,19824376.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt/Harness
23.0,19824377.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt/Harness
37.0,19823754.0,Driver,Not Ejected,Lap Belt & Harness
28.0,19824167.0,Driver,Not Ejected,Lap Belt & Harness
31.0,19824167.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
26.0,NA,NA,NA,NA
28.0,19824166.0,Driver,Not Ejected,Lap Belt & Harness
18.0,19827803.0,Driver,Ejected,Unknown
26.0,NA,NA,NA,NA
34.0,19830066.0,Driver,Not Ejected,Lap Belt
27.0,19824341.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
60.0,19824811.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
65.0,19824370.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
60.0,19824780.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
29.0,19824812.0,Driver,Not Ejected,Lap Belt & Harness
4.0,NA,NA,NA,NA
18.0,19827797.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt/Harness
35.0,19824392.0,Driver,Not Ejected,Lap Belt & Harness
5.0,NA,NA,NA,NA
22.0,NA,NA,NA,NA
56.0,19824391.0,Driver,Not Ejected,Lap Belt & Harness
21.0,19827797.0,"Middle front seat, or passenger lying across a seat",Not Ejected,Lap Belt & Harness
61.0,19824439.0,Driver,Not Ejected,Lap Belt & Harness
35.0,19824442.0,Driver,Not Ejected,Lap Belt & Harness
52.0,19824441.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt/Harness
50.0,NA,NA,NA,NA
72.0,19824188.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
70.0,19825872.0,Driver,Not Ejected,None
29.0,19824624.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt/Harness
47.0,19832249.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Air Bag Deployed/Lap Belt/Harness
49.0,19832249.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt/Harness
65.0,19824674.0,Driver,Not Ejected,Lap Belt & Harness
43.0,NA,NA,NA,NA
40.0,NA,NA,NA,NA
8.0,19824845.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt
8.0,NA,NA,NA,NA
42.0,19827763.0,Driver,Not Ejected,Lap Belt & Harness
45.0,19861651.0,"Any person in the rear of a station wagon, pick-up truck, all passengers on a bus, etc",Not Ejected,None
63.0,19861651.0,"Any person in the rear of a station wagon, pick-up truck, all passengers on a bus, etc",Not Ejected,None
30.0,NA,NA,NA,NA
40.0,19824130.0,Driver,Not Ejected,Lap Belt & Harness
21.0,19826209.0,Driver,Not Ejected,Lap Belt & Harness
40.0,19824287.0,Driver,Ejected,Unknown
33.0,19824840.0,Driver,Not Ejected,Lap Belt & Harness
18.0,NA,NA,NA,NA
29.0,NA,NA,NA,NA
6.0,NA,NA,NA,NA
20.0,19829458.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,Lap Belt & Harness
37.0,19829458.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Child Restraint Only
57.0,19840810.0,Driver,Not Ejected,Lap Belt & Harness
38.0,19824388.0,"Middle front seat, or passenger lying across a seat",Not Ejected,Lap Belt & Harness
37.0,19824588.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt
35.0,19824588.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,None
38.0,19824388.0,Driver,Not Ejected,Lap Belt & Harness
29.0,19824236.0,Driver,Not Ejected,Air Bag Deployed
32.0,19831521.0,Unknown,Not Ejected,None
64.0,19840808.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt/Harness
64.0,19832806.0,Driver,Not Ejected,Lap Belt
50.0,NA,NA,NA,NA
76.0,19825211.0,Driver,Not Ejected,Lap Belt & Harness
27.0,19855234.0,Driver,Not Ejected,Lap Belt & Harness
42.0,19942889.0,Driver,Not Ejected,Lap Belt
35.0,19826690.0,Driver,Not Ejected,Helmet Only (In-Line Skater/Bicyclist)
51.0,19824884.0,Driver,Not Ejected,None
25.0,19824334.0,Driver,Partially Ejected,Unknown
36.0,19824604.0,Driver,Not Ejected,None
34.0,19825802.0,Driver,Not Ejected,Lap Belt & Harness
32.0,NA,NA,NA,NA
37.0,19824379.0,Driver,Not Ejected,Lap Belt & Harness
22.0,19942902.0,Driver,Ejected,None
47.0,19827031.0,Driver,Ejected,Other
30.0,19824717.0,Driver,Partially Ejected,None
18.0,19824254.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
31.0,NA,NA,NA,NA
64.0,NA,NA,NA,NA
29.0,19824088.0,Driver,Not Ejected,None
32.0,19824948.0,Driver,Not Ejected,None
50.0,19824255.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
38.0,NA,NA,NA,NA
54.0,NA,NA,NA,NA
26.0,19866534.0,Unknown,Not Ejected,Unknown
24.0,19827663.0,Driver,Not Ejected,Lap Belt & Harness
59.0,NA,NA,NA,NA
33.0,19825238.0,Driver,Not Ejected,Lap Belt & Harness
16.0,19824416.0,Driver,Not Ejected,Unknown
59.0,NA,NA,NA,NA
69.0,19824915.0,Driver,Not Ejected,Lap Belt & Harness
21.0,19824773.0,Driver,Not Ejected,Lap Belt & Harness
30.0,19824773.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
26.0,19824773.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
55.0,19825406.0,Driver,Not Ejected,Lap Belt & Harness
53.0,19824773.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
56.0,19825405.0,Driver,Not Ejected,Lap Belt & Harness
31.0,19837399.0,Driver,Not Ejected,None
44.0,19824654.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
41.0,19825282.0,Driver,Not Ejected,Unknown
21.0,19824933.0,Driver,Not Ejected,Unknown
37.0,19825427.0,Driver,Ejected,Helmet Only (In-Line Skater/Bicyclist)
18.0,19825809.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt/Harness
28.0,19824790.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
55.0,19828574.0,Driver,Not Ejected,Lap Belt & Harness
32.0,19825026.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
44.0,19836855.0,Driver,Not Ejected,None
30.0,19836856.0,Driver,Not Ejected,Lap Belt & Harness
23.0,19824919.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
27.0,19824919.0,Driver,Not Ejected,Lap Belt & Harness
